measure,label,family,computable,n_directions,n_pairs,rho_published,rho,ci_published,ci,valid_reps,p_boot,p_iid,p_boot_bh,p_iid_bh,p_boot_holm
vector_spearman_9,"Signed-AUC vector Spearman, all 9 features",P(y|x) conditional,True,20,10,0.4347,0.4347200763376572,"[-0.2073, 0.8]","[-0.2666892959517918, 0.8064310723583846]",20000,0.2005,0.05543525383945867,0.7297949336550059,0.18478417946486225,1.0
cosine_9,"Signed-AUC (AUC-0.5) cosine similarity, all 9 features",P(y|x) conditional,True,20,10,0.4438,0.4437767445946917,"[-0.2902, 0.8033]","[-0.27605667331651795, 0.8093940767839897]",20000,0.2049,0.04999229285417395,0.7297949336550059,0.18478417946486225,1.0
agree_fraction_supported,"Sign-agreement fraction, features with both CIs excluding 0.5",P(y|x) conditional,True,18,9,0.5172,0.5171965391047386,"[-0.2743, 0.8683]","[-0.27343437080986527, 0.8682895263509061]",19896,0.2189384800965018,0.027946124359841933,0.7297949336550059,0.18478417946486225,1.0
vector_spearman_supported,"Signed-AUC vector Spearman, supported features only (n>=3)",P(y|x) conditional,True,6,3,0.9562,0.956182887467515,"[0.8528, 0.9562]","[0.8528028654224417, 0.956182887467515]",17791,5.6208195154853575e-05,0.0028378459267344386,0.0011241639030970716,0.05675691853468877,0.0011241639030970716
cosine_supported,"Signed-AUC cosine, supported features only",P(y|x) conditional,True,18,9,0.4935,0.49350790429291724,"[-0.2433, 0.8706]","[-0.2507582789755224, 0.8682663225665356]",20000,0.1774,0.03740614778348659,0.7297949336550059,0.18478417946486225,1.0
schoener_d_mean1d,"Schoener's D, mean of 9 1D overlaps",P(x|y=1) niche overlap,True,20,10,0.0966,0.09660446140836824,"[-0.5345, 0.6302]","[-0.48810787836591746, 0.6369984658180469]",20000,0.7615,0.6853598003259913,0.9431764705882353,0.8708538867447075,1.0
warren_i_mean1d,"Warren's I, mean of 9 1D overlaps",P(x|y=1) niche overlap,True,20,10,0.1902,0.19019003339772497,"[-0.4264, 0.7661]","[-0.4325246535095074, 0.7630547212429215]",20000,0.5839,0.4218822274780997,0.9431764705882353,0.8708538867447075,1.0
schoener_d_pca2d,"Schoener's D, PCA 2D histogram",P(x|y=1) niche overlap,True,20,10,0.0332,0.03320778360912659,"[-0.587, 0.6302]","[-0.5985074619230295, 0.6382260490527113]",20000,0.9337,0.8894620553893047,0.9829474421163175,0.9305030347365681,1.0
warren_i_pca2d,"Warren's I, PCA 2D histogram",P(x|y=1) niche overlap,True,20,10,-0.0272,-0.027170004771103574,"[-0.6566, 0.5601]","[-0.6612293693159089, 0.5924002429238149]",20000,0.9402,0.909472025689888,0.9829474421163175,0.9305030347365681,1.0
mahalanobis_burned,"Mahalanobis distance, burned centroids",P(x|y=1) niche overlap,True,20,10,-0.2204,-0.22037892758784008,"[-0.8187, 0.4236]","[-0.8279495112155897, 0.42632207097782665]",20000,0.5499,0.3504820974194127,0.9431764705882353,0.8708538867447075,1.0
