measure,label,family,computable,n_directions,n_pairs,rho_published,rho,ci_published,ci,valid_reps,p_boot,p_iid,p_boot_bh,p_iid_bh,p_boot_holm
vector_spearman_9,"Signed-AUC vector Spearman, all 9 features",P(y|x) conditional,True,20.0,10.0,0.2687,0.2686811582920242,"[-0.3631, 0.7651]","[-0.3645362635897358, 0.7656196299796705]",20000.0,0.4569,0.25203197110722503,0.9051691086996382,0.653129973956221,1.0
cosine_9,"Signed-AUC (AUC-0.5) cosine similarity, all 9 features",P(y|x) conditional,True,20.0,10.0,0.5042,0.5041545329749217,"[-0.1668, 0.8253]","[-0.15879530768446956, 0.8288939795647671]",20000.0,0.1188,0.023411469211826363,0.7524000000000001,0.14827263834156698,1.0
agree_fraction_supported,"Sign-agreement fraction, features with both CIs excluding 0.5",P(y|x) conditional,True,16.0,8.0,0.8404,0.8404180632330573,"[0.5765, 0.8764]","[0.5764930300097753, 0.87635999649456]",19522.0,5.1224259809445757e-05,4.5838028840862956e-05,0.0009732609363794694,0.0008709225479763961,0.0009732609363794694
vector_spearman_supported,"Signed-AUC vector Spearman, supported features only (n>=3)",,False,,,,,,,,,,,,
cosine_supported,"Signed-AUC cosine, supported features only",P(y|x) conditional,True,16.0,8.0,0.8054,0.8054172503325738,"[0.3295, 0.8774]","[0.39031554800355617, 0.8774024363708869]",19990.0,0.0010005002501250625,0.00016639418454314096,0.009504752376188093,0.0015807447531598392,0.018009004502251125
schoener_d_mean1d,"Schoener's D, mean of 9 1D overlaps",P(x|y=1) niche overlap,True,20.0,10.0,0.2415,0.24151115352092062,"[-0.4502, 0.7415]","[-0.4291807324175468, 0.7317153174623304]",20000.0,0.4757,0.304979913153799,0.9051691086996382,0.653129973956221,1.0
warren_i_mean1d,"Warren's I, mean of 9 1D overlaps",P(x|y=1) niche overlap,True,20.0,10.0,0.2234,0.22339781700685157,"[-0.4233, 0.7285]","[-0.44745700051013776, 0.7192526206038005]",20000.0,0.498,0.34375261787169525,0.9051691086996382,0.653129973956221,1.0
schoener_d_pca2d,"Schoener's D, PCA 2D histogram",P(x|y=1) niche overlap,True,20.0,10.0,0.0966,0.09660446140836824,"[-0.5108, 0.681]","[-0.512664280611334, 0.6743867253953356]",20000.0,0.7918,0.6853598003259913,0.9418411764705882,0.8573039590296179,1.0
warren_i_pca2d,"Warren's I, PCA 2D histogram",P(x|y=1) niche overlap,True,20.0,10.0,-0.0694,-0.06943445663726468,"[-0.6611, 0.4913]","[-0.6765545908995944, 0.5156859491185383]",20000.0,0.8427,0.7711453244916985,0.9418411764705882,0.8573039590296179,1.0
mahalanobis_burned,"Mahalanobis distance, burned centroids",P(x|y=1) niche overlap,True,20.0,10.0,-0.2264,-0.2264167064258631,"[-0.7499, 0.4422]","[-0.7375427979772998, 0.4123564947807647]",20000.0,0.4956,0.33709913480730463,0.9051691086996382,0.653129973956221,1.0
