cell_id,row_500m,col_500m,burned,hist5,gap
r81_c215,81,215,0,True,False
r82_c130,82,130,1,True,False
r82_c131,82,131,1,True,False
r82_c134,82,134,1,True,False
r82_c135,82,135,1,True,False
r82_c211,82,211,0,True,False
r82_c212,82,212,0,True,False
r82_c213,82,213,0,True,False
r82_c214,82,214,0,True,False
r82_c215,82,215,0,True,False
r83_c131,83,131,1,True,False
r83_c134,83,134,1,True,False
r83_c135,83,135,1,True,False
r84_c131,84,131,1,True,False
r84_c132,84,132,1,True,False
r84_c133,84,133,1,True,False
r84_c134,84,134,1,True,False
r85_c42,85,42,0,True,False
r85_c43,85,43,0,True,False
r85_c44,85,44,0,True,False
r85_c45,85,45,0,True,False
r85_c46,85,46,0,True,False
r85_c131,85,131,1,True,False
r85_c132,85,132,1,True,False
r85_c133,85,133,1,True,False
r85_c134,85,134,1,True,False
r86_c42,86,42,0,True,False
r86_c43,86,43,0,True,False
r86_c44,86,44,0,True,False
r86_c45,86,45,0,True,False
r86_c46,86,46,0,True,False
r86_c47,86,47,0,True,False
r87_c42,87,42,0,True,False
r87_c43,87,43,0,True,False
r87_c44,87,44,0,True,False
r87_c45,87,45,0,True,False
r87_c46,87,46,0,True,False
r88_c42,88,42,0,True,False
r88_c43,88,43,0,True,False
r88_c44,88,44,0,True,False
r88_c45,88,45,0,True,False
r88_c46,88,46,0,True,False
r89_c42,89,42,0,True,False
r89_c43,89,43,0,True,False
r89_c44,89,44,0,True,False
r89_c45,89,45,0,True,False
r89_c46,89,46,0,True,False
r99_c42,99,42,0,True,False
r99_c43,99,43,0,True,False
r99_c44,99,44,0,True,False
r100_c38,100,38,0,True,False
r100_c39,100,39,0,True,False
r100_c40,100,40,0,True,False
r100_c41,100,41,0,True,False
r100_c42,100,42,0,True,False
r100_c43,100,43,0,True,False
r100_c44,100,44,0,True,False
r100_c45,100,45,0,True,False
r100_c46,100,46,0,True,False
r101_c38,101,38,0,True,False
r101_c39,101,39,0,True,False
r101_c40,101,40,0,True,False
r101_c41,101,41,0,True,False
r101_c42,101,42,0,True,False
r101_c43,101,43,0,True,False
r101_c44,101,44,0,True,False
r101_c45,101,45,0,True,False
r101_c46,101,46,0,True,False
r102_c37,102,37,0,True,False
r102_c38,102,38,0,True,False
r102_c39,102,39,0,True,False
r102_c40,102,40,0,True,False
r102_c41,102,41,0,True,False
r102_c42,102,42,0,True,False
r102_c43,102,43,0,True,False
r102_c44,102,44,0,True,False
r102_c45,102,45,0,True,False
r102_c46,102,46,0,True,False
r103_c38,103,38,0,True,False
r103_c39,103,39,0,True,False
r103_c40,103,40,0,True,False
r103_c41,103,41,0,True,False
r103_c42,103,42,0,True,False
r104_c38,104,38,0,True,False
r104_c39,104,39,0,True,False
r104_c40,104,40,0,True,False
r135_c4,135,4,0,True,False
r135_c5,135,5,0,True,False
r136_c4,136,4,0,True,False
r136_c5,136,5,0,True,False
r136_c6,136,6,0,True,False
r137_c3,137,3,0,True,False
r137_c4,137,4,0,True,False
r137_c5,137,5,0,True,False
r137_c6,137,6,0,True,False
r138_c3,138,3,0,True,False
r138_c4,138,4,0,True,False
r138_c5,138,5,0,True,False
r138_c6,138,6,0,True,False
r138_c7,138,7,0,True,False
r139_c4,139,4,0,True,False
r139_c5,139,5,0,True,False
r139_c6,139,6,0,True,False
r140_c4,140,4,0,True,False
r140_c5,140,5,0,True,False
r140_c6,140,6,0,True,False
r140_c392,140,392,0,True,False
r141_c391,141,391,0,True,False
r141_c392,141,392,0,True,False
r171_c83,171,83,0,True,False
r171_c84,171,84,0,True,False
r171_c85,171,85,0,True,False
r171_c86,171,86,0,True,False
r172_c83,172,83,0,True,False
r172_c84,172,84,0,True,False
